Username,Name
markets,Bloomberg Markets
business,Bloomberg
MikeBloomberg,Mike Bloomberg
nytimesbusiness,New York Times
YahooFinance,Yahoo Finance
yfinanceplus,Yahoo Finance Plus
Stocktwits,Stocktwits
ftfinancenews,Finance News
WSJpersfinance,WSJ personal finance
ETFinance,ET finance
BusinessMN,Finance and Commerce
GFmag,Global Finance
Investingcom,Investing.com
FinanceInsider,Finance Insider
ftmoney,Personal Finance
Forbes,Forbes
ForbesTech,Forbes Tech
MarketWatch,Market Watch
MKTWeconomics,Market Watch Economy
WSJ ,Wall street Journal
WSJbusiness,WSJ Business News
WSJTech,WSJ Tech
WSJmarkets,WSJ Markets
Reuters,Reuters
ReutersBiz,Reuters Business
Investopedia,Investopedia
InvestopediaP,Investopedia Personal Finance
IBDinvestors,Investors Business Daily
WSJDealJournal,WSJ mergers and acquisitions
Stephanie_Link,Stephanie Link
bespokeinvest,Bespoke Post
BreakoutStocks,Breakout Stocks
Benzinga,Benzinga
CNBC,Cnbc
CNNMoneyInvest,CNN Money investing
CNNYourMoney,CNN Your Money
SeekingAlpha,Seeking Alpha
FortuneMagazine,Fortune
MorningstarInc,Morningstar
Morningstar_vc,Morningstar Ventures
pkedrosky,Paul Kedrosky
GoldmanSachs,Goldman Sachs
wallstreetmojo,Dheeraj Vaidya
AswathDamodaran,Aswath Damodaran
stt2318,Keith Kern
firoozye,Nick Firoozye 
elerianm,Mohamed A. El-Erian
valuewalk,Value Walk 
MorganStanley,MorganStanley
IanShepherdson,IanShepherdson
jasonzweigwsj,Jason Zweig 
JustinWolfers,JustinWolfers
M_McDonough,Michael McDonough
cullenroche,Cullen Roche
nanexllc,Eric Scott Hunsader
jimcramer,Jim Cramer 
ritholtz,Barry Ritholtz
PeterLBrandt,Peter Brandt
ZeroHedge,ZeroHedge 
paulkrugman,Paul Krugman
steve_hanke,Steve Hanke 
TheStalwart,Joe Weisenthal
ReformedBroker,Josh Brown 
alaidi,Ashraf Laidi
SJosephBurns,Steve Burns
PeterSchiff,PeterSchiff)
allstarcharts,J C Parets